"file","reads"
"Nim-2010-1402",63926624
"Nim-2010-1403",67943520
"Kwi-1996-CH-KW-96-39",77031027
"Harr-2006-K053",51923415
"Oka-2007-13626",52535838
"Blu-2009-EC04",57404912
"San-2002-EC05",56882985
"Dud-2006-EC07",55051991
"Nor-2006-EC08",55398701
"Ada-2002-EC03",60298533
"Pit-2006-EC09",60296253
"Dud-2006-EC08",49474479
"Por-2005-EC01",69390002
"Pit-2006-EC12",55721199
"Blu-2010-EC04",51802240
"Por-2005-EC02",63523069
"Por-2001-EC01",50195565
"Blu-2001-EC01",48755444
"Por-2005-EC03",50658929
"Por-2001-EC03",52933535
"Blu-2001-EC02",43434434
"Por-2005-EC04",57992402
"Por-2001-EC04",54111496
"Hoo-2005-EC05",46763226
"Blu-2001-EC03",52356397
"Imn-1999-359",58818516
"Por-2005-EC06",50718535
"May-2009-EC11",45380554
"Ada-2002-EC01",61275974
"Pit-2006-EC06",63461548
"Toz-2003-3",53737056
"Oka-2007-13622",50259155
"Nor-2006-EC01",46920114
"Ver-2021-EC03",48155051
"May-2009-EC01",54847647
"SpiB-2021-253205",46500437
"May-2009-EC05",53861070
"San-2002-EC06",59701206
"Nor-2006-EC09",52272998
"Dea-2006-EC03",52224937
"Dea-2006-EC06",53568328
"Car-2001-UC-7",49163258
"Dea-2006-EC07",51700733
"SpiB-2021-253301",42741546
"Dea-2006-EC08",54241565
"Oka-2007-13621",47729022
"San-2002-EC01",54633118
"Imn-1999-351",50516499
"Siu-2011-009",55384479
"Toz-2003-4",56391697
"Ver-2021-EC04",45135889
"Dea-2006-EC04",51082576
"Dud-2006-EC01",59414631
"Hoo-2005-EC03",64023910
"Imn-1999-352",43002149
"May-2009-EC02",64459763
"Swi-2010-EC03",51206339
"Toz-2003-5",48405547
"Ver-2021-EC05",51540607
"Dea-2006-EC05",55030900
"Nor-2006-EC02",59571906
"Dud-2006-EC02",52324202
"Imn-1999-357",59015237
"Imn-1999-353",43905639
"May-2009-EC03",51799712
"Swi-2010-EC04",30872690
"Toz-2003-6",51998711
"Ver-2021-EC06",50556855
"Nor-2006-EC03",49614071
"Dud-2006-EC03",44988229
"May-2009-EC10",57089923
"Imn-1999-354",45085206
"May-2009-EC04",47993694
"Swi-2010-EC05",44050182
"Toz-2003-7",47431842
"Ver-2021-EC07",44568154
"Toz-2003-2",51860075
"Nor-2006-EC04",48737864
"Dud-2006-EC04",42414455
"Imn-1999-355",40928467
"Swi-2010-EC07",47202578
"Toz-2003-8",45906203
"Ver-2021-EC02",45510766
"Ver-2021-EC08",48305286
"Nor-2006-EC06",45228848
"Dud-2006-EC05",44992700
"Imn-1999-356",50261079
"May-2009-EC09",50624922
"Dea-2006-EC02",44407978
"Toz-2003-1",56763704
"Ver-2021-EC01",54883458
"Dea-2006-EC01",59190094
"Nor-2006-EC07",57533384
"Dud-2006-EC06",64608019
"Ada-2002-EC02",64474133
"Pit-2006-EC08",57687581
