Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Kaouk,13.60000038,6.699999809,33,491.8999939,25.89999962,5.5,20.39999962,10.39999962,20.29999924,20,8.100000381,3514,598,51,63.79999924,1591,241,307,1269,2041-2060,85
Kaouk,9.179166794,6.591666698,36.41804886,430.9580078,20,1.899999976,18.10000038,4.883333206,14.58333302,14.83333397,4.449999809,3297,533,71,58.63339233,1475,295,324,1248,1970-2000,NA
Spius,11.5,11.80000019,30.39999962,908.9000244,33.79999924,-5,38.79999924,6,24.70000076,22.70000076,0.200000003,403,55,17,34.40000153,147,68,80,117,2041-2060,26
Spius,13,11.89999962,29.20000076,962.5999756,37.20000076,-3.400000095,40.59999847,6.800000191,27.70000076,25.10000038,1.299999952,400,54,16,35.70000076,148,64,74,117,2041-2060,85
Spius,7.716666698,11.53333282,32.85850143,839.5299683,26.89999962,-8.199999809,35.09999847,-2.049999952,3.583333254,17.91666603,-2.916666746,380,46,19,27.85342216,132,67,88,112,1970-2000,NA
Duteau,11.19999981,11,28.89999962,931.5,33.40000153,-4.5,37.90000153,5.199999809,5.900000095,22.60000038,-0.5,551,65,24,31.60000038,170,91,128,128,2041-2060,26
Duteau,12.60000038,11.10000038,27.60000038,991.2999878,37,-3,40,6.099999905,6.599999905,25.10000038,0.699999988,547,65,24,32.90000153,174,93,115,130,2041-2060,85
Duteau,7.308333397,10.78333282,31.43828964,867.8076782,26.39999962,-7.900000095,34.29999924,15.79999924,2.966666698,17.83333206,-3.666666746,523,60,24,25.60009575,158,84,139,123,1970-2000,NA
Birkenhead,11.80000019,9.199999809,28.89999962,784.5999756,30.39999962,-1.600000024,32,6.900000095,22.20000076,21.39999962,2.200000048,1216,218,29,62.29999924,560,111,111,439,2041-2060,26
Birkenhead,13.19999981,9.300000191,27.70000076,838.9000244,33.70000076,0,33.70000076,7.800000191,24.79999924,23.79999924,3.299999952,1218,213,26,63.20000076,562,99,99,441,2041-2060,85
Birkenhead,8.066666603,9.016666412,31.30787086,714.5606689,24.20000076,-4.599999905,28.80000114,-0.049999971,16.83333397,16.83333397,-0.716666698,1141,185,38,57.91232681,517,120,120,435,1970-2000,NA
Phillips,12.19999981,6.699999809,26.79999924,669.0999756,26.79999924,1.700000048,25.10000038,8.100000381,21.39999962,20.60000038,4.199999809,2034,336,52,52,854,197,234,633,2041-2060,26
Phillips,13.60000038,6.800000191,25.70000076,714.5,29.89999962,3.299999952,26.60000038,9,24.10000038,22.79999924,5.300000191,2044,319,44,52.09999847,852,191,215,631,2041-2060,85
Phillips,8.529166222,6.424999714,29.07239723,580.7888794,21.20000076,-0.899999976,22.10000038,2.116666555,15.53333378,15.71666718,1.566666722,1939,287,60,46.41111755,762,216,241,646,1970-2000,NA
Nimpkish,12.39999962,6.5,33.20000076,493.1000061,23.89999962,4.199999809,19.70000076,9.399999619,18.60000038,18.29999924,6.5,1921,319,48,58.20000076,863,189,189,659,2041-2060,26
Nimpkish,13.60000038,6.599999905,31.89999962,518,26.29999924,5.5,20.79999924,10.19999981,20.39999962,20,7.599999905,1934,307,41,58.09999847,862,174,174,661,2041-2060,85
Nimpkish,8.837500572,6.341666698,36.23809433,427.4136047,19.20000076,1.700000048,17.5,4.300000191,14.10000038,14.23333359,3.866666794,1834,271,56,52.2532959,770,208,239,670,1970-2000,NA
Portage,11.39999962,9.899999619,28.39999962,840.9000244,31.39999962,-3.299999952,34.70000076,1.399999976,23.60000038,21.79999924,1.200000048,573,95,22,50.70000076,249,82,84,199,2041-2060,26
Portage,12.89999962,9.899999619,27.29999924,895,34.79999924,-1.600000024,36.40000153,3.200000048,25.29999924,24.20000076,2.299999952,574,94,20,52.40000153,252,76,76,201,2041-2060,85
Portage,7.704166412,9.658332825,30.85729599,773.4910889,24.89999962,-6.400000095,31.29999924,-1.050000072,11.4333334,17.20000076,-1.866666675,538,81,25,46.57075882,230,81,90,194,1970-2000,NA
Adams,11.5,11.5,30.29999924,908.5,33.5,-4.5,38,0.400000006,6.099999905,22.70000076,0.200000003,582,77,28,33.70000076,206,94,134,161,2041-2060,26
Adams,12.89999962,11.5,28.89999962,965.5999756,37,-2.900000095,39.90000153,2.099999905,6.800000191,25.20000076,1.299999952,578,78,28,35.79999924,210,96,118,164,2041-2060,85
Adams,7.679166794,11.35833359,32.92270279,848.3043823,26.70000076,-7.800000191,34.5,-2.049999952,3.350000143,18.01666641,-2.950000048,552,67,27,28.21200943,188,89,144,154,1970-2000,NA
Klinaklini,11.5,7.800000191,28.89999962,697,26.79999924,-0.200000003,27,7.099999905,20.79999924,20.10000038,2.900000095,1564,264,46,54.70000076,685,172,183,478,2041-2060,26
Klinaklini,12.89999962,7.900000095,27.79999924,740.0999756,29.89999962,1.399999976,28.5,8.100000381,23.39999962,22.20000076,4.099999905,1574,257,40,54.79999924,687,168,169,479,2041-2060,85
Klinaklini,7.875,7.583333492,31.33609009,614.7523193,21.29999924,-2.900000095,24.19999886,3.783333302,15.05000019,15.29999924,0.266666681,1493,229,51,49.02839279,612,185,186,492,1970-2000,NA
Seymour,11,10.30000019,28.29999924,924.9000244,32.5,-3.900000095,36.40000153,5.5,23.89999962,22.39999962,-0.5,1001,130,54,26.10000038,333,196,224,268,2041-2060,26
Seymour,12.5,10.30000019,27,981.0999756,36,-2.299999952,38.29999924,6.5,26.89999962,24.89999962,0.699999988,993,131,47,28.5,342,181,197,272,2041-2060,85
Seymour,7.241666794,10.23333359,30.82329369,866.6860352,26,-7.199999809,33.20000076,-2.466666698,2.5,17.83333397,-3.599999905,952,112,59,20.10239983,300,191,239,260,1970-2000,NA
Raft,10.5,11.60000038,29.29999924,954.9000244,32.70000076,-6.900000095,39.59999847,4.599999905,5.699999809,22.10000038,-1.700000048,528,60,24,24.79999924,162,86,146,129,2041-2060,26
Raft,12,11.60000038,28.20000076,1002.5,36.09999847,-5.099999905,41.20000076,5.5,6.5,24.5,-0.400000006,524,58,24,25.5,168,87,130,133,2041-2060,85
Raft,6.754166603,11.57499981,31.71232986,903.6553345,26.29999924,-10.19999981,36.5,17.53333282,2.633333445,17.53333282,-4.849999905,503,54,23,23.89619255,155,81,155,124,1970-2000,NA
Kilbella,11.19999981,6.400000095,29.5,571.5999756,23.5,1.899999976,21.60000038,7.400000095,18.60000038,18.29999924,4.5,3033,467,89,51.59999847,1324,321,321,958,2041-2060,26
Kilbella,12.39999962,6.400000095,28.5,599.2000122,25.70000076,3.099999905,22.60000038,8.300000191,20.39999962,20,5.599999905,3073,494,77,52.5,1339,296,296,955,2041-2060,85
Kilbella,7.800000191,6.266666889,31.81049156,513.6854248,19,-0.699999988,19.70000076,4.849999905,14.13333321,14.16666698,1.816666722,2917,407,99,45.96785355,1189,341,444,976,1970-2000,NA
Taseko,7.199999809,15.10000038,34.5,997.5,29.89999962,-14,43.90000153,16.60000038,2.299999952,18.79999924,-6,391,48,16,30.29999924,130,53,123,83,2041-2060,26
Taseko,8.600000381,15.19999981,33.5,1036.5,33.09999847,-12.19999981,45.29999924,18.20000076,3.099999905,21,-4.699999809,391,48,16,29.70000076,126,54,115,86,2041-2060,85
Taseko,3.487499952,15.14166641,36.75161743,948.3577271,24,-17.20000076,41.20000076,14.41666603,-0.883333266,14.41666603,-9.033333778,368,44,15,29.60326958,123,50,123,82,1970-2000,NA
Blue,8.300000191,11.10000038,26.79999924,971.7000122,30.39999962,-11,41.40000153,3.599999905,3,20,-4.300000191,1025,120,54,24.60000038,333,187,246,278,2041-2060,26
Blue,9.800000191,11.10000038,25.89999962,1018.5,33.79999924,-9.199999809,43,4.699999809,3.799999952,22.29999924,-3,1019,121,55,27,345,187,218,283,2041-2060,85
Blue,4.591666698,11.15000057,29.03645897,919.2804565,24.20000076,-14.19999981,38.40000153,-5.833333015,-0.216666654,15.48333359,-7.366666317,976,106,49,21.60524368,311,180,255,270,1970-2000,NA
Nusatsum,10.80000019,9.300000191,31.70000076,735.9000244,27.10000038,-2.200000048,29.29999924,5.699999809,20.5,20.10000038,1.899999976,1312,220,40,57,586,147,147,416,2041-2060,26
Nusatsum,12.19999981,9.399999619,30.89999962,773.5999756,30,-0.400000006,30.39999962,6.599999905,22.70000076,22.10000038,3.099999905,1328,222,35,56.90000153,593,138,138,417,2041-2060,85
Nusatsum,7.162499905,9.175000191,34.36329651,663.2397461,21.79999924,-4.900000095,26.69999886,2.516666651,13.45000076,15.33333397,-0.900000036,1267,196,42,53.28583527,538,143,146,435,1970-2000,NA
Dean,8.300000191,10.60000038,31.70000076,806.2000122,26.29999924,-7.099999905,33.40000153,3.200000048,18.79999924,18.20000076,-1.799999952,834,137,36,50.09999847,357,125,125,260,2041-2060,26
Dean,9.699999809,10.60000038,31,840.5999756,29.20000076,-5.099999905,34.29999924,4.199999809,21,20.29999924,-0.5,847,136,33,50.70000076,366,118,118,262,2041-2060,85
Dean,4.662499905,10.54166698,34.11542511,747.6329956,21,-9.899999619,30.89999962,-0.216666788,8.416666985,13.71666622,-4.733333588,797,122,35,47.01490021,327,117,123,267,1970-2000,NA
Cariboo,7.400000095,11.30000019,31.29999924,846.0999756,27.20000076,-8.800000191,36,2.200000048,2,17.79999924,-3.099999905,936,103,54,21.29999924,276,167,250,227,2041-2060,26
Cariboo,8.800000191,11.30000019,30.29999924,886.4000244,30.39999962,-6.699999809,37.09999847,3.099999905,2.700000048,20,-1.700000048,936,101,54,23.20000076,289,167,229,234,2041-2060,85
Cariboo,3.579166651,11.375,34.1591568,805.6771851,21.20000076,-12.10000038,33.30000305,13.35000038,-0.683333397,13.35000038,-6.366666794,878,91,50,19.44425392,252,157,252,218,1970-2000,NA
Swift,8.399999619,11.19999981,29,936.5999756,29.60000038,-9,38.59999847,9.300000191,3.5,19.70000076,-3.599999905,598,70,29,24.60000038,182,103,157,151,2041-2060,26
Swift,9.800000191,11.19999981,28,976.5999756,32.79999924,-7.099999905,39.90000153,10.19999981,4.300000191,22,-2.299999952,592,73,28,27.29999924,189,101,141,155,2041-2060,85
Swift,4.574999809,11.3166666,31.52274704,894.1387329,23.60000038,-12.30000019,35.90000153,10.46666718,5.233333588,15.3166666,-6.833333015,570,65,28,24.16540909,171,96,157,149,1970-2000,NA
Kitlope,10.30000019,7.5,27.60000038,708.2000122,25.29999924,-2,27.29999924,5.900000095,19.29999924,18.89999962,1.600000024,2782,480,82,54.59999847,1212,298,298,873,2041-2060,26
Kitlope,11.60000038,7.599999905,27.20000076,734.2000122,27.79999924,-0.200000003,28,6.800000191,21.39999962,20.79999924,2.799999952,2848,513,73,56.20000076,1254,281,281,867,2041-2060,85
Kitlope,6.629166603,7.458333492,29.59656143,648.2194214,20.5,-4.699999809,25.20000076,2.616666794,12.63333321,14.54999924,-1.316666603,2675,417,87,51.16986084,1114,297,301,910,1970-2000,NA
Yakoun,10.80000019,5.699999809,30.79999924,465,21.20000076,2.599999905,18.60000038,8.100000381,14.39999962,17,5.699999809,1644,245,58,46.40000153,677,205,275,502,2041-2060,26
Yakoun,11.69999981,5.699999809,30.79999924,472.2000122,22.39999962,3.900000095,18.5,8.899999619,18.10000038,18.10000038,6.699999809,1678,260,55,47.70000076,700,201,270,503,2041-2060,85
Yakoun,7.791666508,5.900000095,33.14606476,440.3502502,17.70000076,-0.100000001,17.80000114,5.716666698,11.30000019,13.53333378,2.900000095,1550,208,61,40.38137817,599,213,264,487,1970-2000,NA
Slim,8,11.60000038,30.29999924,918.5999756,28.39999962,-9.899999619,38.29999924,2.5,3.099999905,19.10000038,-3.700000048,932,104,48,22,271,162,252,236,2041-2060,26
Slim,9.600000381,11.60000038,29.79999924,945.0999756,31.5,-7.400000095,38.90000153,3.5,3.900000095,21.29999924,-2.099999905,944,104,49,23.70000076,283,163,241,243,2041-2060,85
Slim,4.199999809,11.78333282,32.73147964,887.2403564,22.70000076,-13.30000019,36,14.71666718,-0.150000006,14.71666718,-7.166666508,880,91,43,21.16495132,253,154,253,227,1970-2000,NA
Kildala,10.39999962,7,25.89999962,718.7999878,25.20000076,-2,27.20000076,6.199999809,19.5,19.39999962,1.5,2317,382,73,52.90000153,991,260,260,746,2041-2060,26
Kildala,11.80000019,7.099999905,25.70000076,739.7000122,27.5,0,27.5,7.199999809,21.39999962,21.20000076,2.900000095,2382,410,67,54.09999847,1031,251,251,742,2041-2060,85
Kildala,6.775000095,6.949999809,27.57936478,658.0808716,20.5,-4.699999809,25.20000076,2.75,12.9333334,14.80000019,-1.383333325,2224,330,77,50.05871201,909,244,259,773,1970-2000,NA
Endako,6.900000095,11.10000038,28.10000038,963.5999756,27.10000038,-12.19999981,39.29999924,16.20000076,1.799999952,18.20000076,-5.699999809,559,65,25,27.5,169,83,162,127,2041-2060,26
Endako,8.399999619,11,27.89999962,980,29.89999962,-9.600000381,39.5,9.100000381,2.5,20.29999924,-4,567,67,26,28.70000076,175,83,158,129,2041-2060,85
Endako,3.045833349,11.27499962,30.30913925,938.559021,21.60000038,-15.60000038,37.20000076,13.9333334,-1.616666555,13.9333334,-9.216666222,519,56,22,26.18004227,158,77,158,122,1970-2000,NA
Ecstall,9.699999809,6.699999809,30.10000038,553.9000244,21.60000038,-0.5,22.10000038,6.199999809,16.70000076,16.5,3.200000048,3039,490,89,49.90000153,1267,332,332,923,2041-2060,26
Ecstall,10.80000019,6.699999809,30,564.5,23.29999924,1.100000024,22.20000076,7.199999809,18.20000076,17.89999962,4.400000095,3138,526,82,51.70000076,1327,318,318,932,2041-2060,85
Ecstall,6.229166508,6.658333302,32.16586304,512.8860474,17.5,-3.200000048,20.70000076,3.233333349,12.59999943,12.63333321,0.299999982,2854,410,95,44.46558762,1118,343,496,928,1970-2000,NA
Kitsumkalum,10.39999962,7.900000095,26.70000076,784.5999756,26.5,-3.200000048,29.70000076,5.5,19.79999924,20.20000076,0.600000024,1444,245,52,54.20000076,633,174,179,464,2041-2060,26
Kitsumkalum,11.80000019,7.900000095,26.60000038,802.5,28.89999962,-1,29.89999962,6.599999905,22.39999962,22.10000038,2.200000048,1492,263,50,55.40000153,663,175,175,466,2041-2060,85
Kitsumkalum,6.758333206,7.916666508,28.47721863,728.3413086,21.79999924,-6,27.79999924,1.983333349,13.75,15.58333302,-2.383333206,1369,209,52,51.13710403,574,159,172,474,1970-2000,NA
Kincolith,10.39999962,6.900000095,30.5,593.5,22.60000038,-0.100000001,22.70000076,7.5,17.5,18,3.400000095,2177,379,83,50.70000076,915,275,294,638,2041-2060,26
Kincolith,11.69999981,6.900000095,30.10000038,610.2000122,24.60000038,1.700000048,22.89999962,8.399999619,19,19.70000076,4.699999809,2251,404,79,52.20000076,960,281,290,645,2041-2060,85
Kincolith,6.887499809,6.908333302,32.58647919,537.4354858,18.29999924,-2.900000095,21.19999886,3.783333302,11.90000057,13.53333282,0.383333325,2034,319,82,46.3106842,816,256,284,642,1970-2000,NA
Kitwanga,9.199999809,9.899999619,29.39999962,861.2000122,27.39999962,-6.300000191,33.70000076,3.700000048,8.199999809,20,-1.700000048,797,124,33,42.20000076,302,116,156,228,2041-2060,26
Kitwanga,10.69999981,10,29.39999962,878.7999878,29.89999962,-4,33.90000153,4.800000191,5.900000095,22,-0.100000001,823,133,36,43.5,316,121,157,229,2041-2060,85
Kitwanga,5.545833588,10.04166698,31.28244972,819.0250854,22.70000076,-9.399999619,32.09999847,-0.099999964,6.083333492,15.38333321,-4.866666794,738,104,32,39.58475494,270,108,143,228,1970-2000,NA
Kwinageese,7.400000095,9.600000381,27.89999962,890.4000244,25.39999962,-9.100000381,34.5,8.399999619,6.599999905,18.5,-3.799999952,915,144,33,42.5,352,120,200,243,2041-2060,26
