"","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14","PCNM15","PCNM16","PCNM17","PCNM18","PCNM19","PCNM20","PCNM21","PCNM22","PCNM23","PCNM24","PCNM25","PCNM26","PCNM27","PCNM28","PCNM29","PCNM30","PCNM31","PCNM32","PCNM33","PCNM34","PCNM35","PCNM36"
"Dean",-0.0655390777270623,-0.00776813919495055,0.085528626759175,0.0029421871295117,-0.00331375878458343,-0.0107366355728512,0.14996760996027,-0.00831771894668243,-0.00705618867134942,0.523749687655367,0.132066023265733,0.102633459780138,-0.305737466865305,-0.0183772949273888,-0.0780941006175678,0.000395385798735218,-0.0826689721081365,-0.0794733931956978,-0.000163517406271858,-0.234521479260855,0.0151184951740729,0.238548397140673,-0.00864135322209532,0.100960413357262,0.000330707692057106,-0.0595201938859605,-0.0474539148787398,-0.0844311620457306,0.219646326493135,-0.529729515460497,-0.0532129584838748,0.00654314171370778,0.00147765971546503,0.00767803448868616,-0.0166225824534992,-0.0460284547307749
"Dudidontu",-0.0636507705497925,0.0142837304221307,0.314409334167892,-0.0494530244872228,-0.00161383524951841,-0.0176066083289156,-0.405240241677402,0.0356175920664708,0.000494194178236002,0.0214761276922744,-0.221415343404853,-0.154164723361771,-0.188961401634814,-0.0128480384735205,0.280965911102427,0.00491447937496168,0.0119164322443877,-0.00614530451166969,6.45795163860848e-06,-0.011243505718437,0.00371607950347096,-0.015875978309176,-0.0223169641513247,0.0278914524430887,0.000231121658773459,0.172188722113813,-0.101340343566305,-0.244685847800758,-0.00317007279756657,0.0106874813352171,-0.0235007466324314,0.167858734716425,-0.0585328185968353,-0.307260825373436,-0.14572002005713,-0.0794508908694471
"Duteau",-0.0650395879747064,-0.0276618895545175,-0.140885215452777,-0.129839754300298,0.00100816311451489,-0.00241003797620429,-0.0586094321516201,-0.51859465110271,0.000981579761617064,-0.0411282772533786,0.0354944737004251,0.0246411895623314,-0.0618832200242814,-0.00364950589055679,-0.00414570613957412,3.64564597918574e-05,-0.161217653180125,-0.072017951776078,-2.25517507156117e-06,0.0586760669648205,-0.151086116038021,0.0132955004223783,0.272544177360666,-0.0142462714676376,7.66748129382501e-05,-0.0041100397479869,0.0329059887626421,-0.0363860470262224,0.0571901683113491,0.0246196993352463,0.0199549210669674,0.192864656173044,-0.495511909054966,0.198729031898259,0.0149047926081245,0.0197759088251793
"Ecstall",-0.0654543520699144,-0.000799378331513761,0.148005213986437,-0.00155811271088606,-0.00228356452771034,-0.0134058541689561,0.0482180111210004,0.0160829933533711,0.00156325912726554,-0.130877958638173,-0.054737618781059,-0.0256151334435057,0.0207388349224019,0.00158603383901733,0.035029823528803,-4.29617605602435e-05,0.0119325627231537,0.00200311166296582,-1.98967466445034e-05,-0.0393284659338934,-0.0182819971648716,0.0220061930714498,-0.000797837697154936,0.0363110072074401,0.000140122895459925,0.229255015751746,0.0540254587057081,0.00941704805309828,0.0105386415842145,-0.0487955465387118,-0.0459125094426782,-0.0244009281452716,0.0151868421584423,0.0281565162980543,-0.0597286885295939,0.233461860600652
"Endako",-0.064332605273354,-0.0332421279109975,-0.199742962292402,-0.249786469587103,-0.000318959610665234,-0.0220768293960371,0.0285114555456568,0.258704745775807,9.07721174571614e-05,-0.0140400016245574,0.00573604874587592,0.00671826466109527,-0.0111702428734779,-0.000465326062721686,-0.00465005934719263,-0.000116761818563687,-0.0420670467175744,0.566421344698986,-8.73857706867244e-05,-0.188887703938817,0.393048842112609,-0.0149085691387401,0.440714812771777,0.0196842716740551,0.000315447433044398,0.00601642288276984,0.0405036363704911,-0.0429149437897427,-0.00513428706303169,0.00273570798417856,0.00379214552605195,0.00482524740846631,0.024390118627863,-0.0240135873054462,-0.0141647903288201,0.00667986834312171
"Hoole",0.271124426603315,-0.0756339889830932,0.0137065836375534,-0.00180471485694576,0.243017218071532,0.000328377752282856,0.00171196477874474,0.000140327709477917,-0.566555698478016,-0.00964985891972573,-0.00149312743218942,0.00857001166620762,0.0385127671090678,-0.658254957038118,0.000637413177158703,-0.0332447186839875,-0.000194954170534133,1.63830963786265e-06,-0.0137924892729859,2.14395033473983e-05,9.96887828052725e-06,2.9025460715384e-05,9.35926822360305e-05,0.00029778651334657,-0.0709000612477523,5.54608768374518e-08,3.48006582437249e-05,1.45163015595959e-05,-1.26946627566054e-05,-1.52763598138686e-05,6.46183826537652e-06,-8.3038718178309e-06,1.76508059773067e-06,2.98230288260509e-05,1.15065965589772e-05,-3.28899820768724e-06
"Imnaha",-0.0632657001294477,-0.0340528112506575,-0.163947127925961,0.434633156163859,0.00204482490930636,-0.355251450145841,-0.0101438091969987,0.016774859034927,0.000106622433729258,-0.0183375631460725,0.397835935068428,-0.632370612198776,-0.0294518373616615,-0.0107306909260737,-0.0485668418655488,0.000139957003016965,0.00123709011695279,0.0039450324984682,-1.76052709333971e-06,0.00679599343091143,0.00296017248808658,0.00887527139979283,0.00104511293648564,-0.0119041114163995,-0.000107702471756332,-0.0200483791259816,0.00374856489055683,0.0109721048289483,0.00612731193912177,-0.00179140953694159,0.00233976975749543,-0.00493589627224924,-0.000355806289715009,0.00604814294175752,-0.0156117538648796,0.0235641611393712
"Kaouk",-0.0658239718369588,-0.0125913244554615,0.0199228561307568,0.0790866903789922,9.98075972778277e-05,0.0211647944075077,0.0128493039090248,0.0951173320556477,-1.23209230581464e-05,-0.02581333393202,0.111992039903483,0.105405646318406,-0.31230421921834,-0.0166373472444055,-0.041958386720031,-0.000582856750628003,0.00254546361023744,0.108995842824371,0.000308976331676908,0.499554858352498,0.0609488161488417,-0.114236680822637,-0.0118652094770491,0.315246613402449,0.00118341166487411,-0.00988454198713355,0.0590643781292986,-0.0054300567305909,0.119541271186018,0.0472675690502537,0.044874114475367,-0.051550541638684,-0.0217354150901059,-0.0132855158681951,-0.0316968614651656,-0.00100030656661013
"Kilbella",-0.0658570157228634,-0.00848541615942185,0.0587498016984579,0.0109724096112772,-0.000210933560060617,-0.0134972644240977,0.0108504111535372,0.0318657849045034,-0.00136047759849815,0.0842382584775536,0.00369622244757731,-0.0012705950829863,-0.0614453395705187,-0.00362752939083709,-0.0133509050015066,-0.000156907015886269,0.017841609654054,0.0181238036417141,-9.02525128802597e-06,-0.00750824139201983,-0.0257997725706564,0.126178415342762,-0.00715249856309923,0.00448362276655805,3.28490669842529e-05,0.0972059262937669,-0.0309586285808936,0.00443477036111973,-0.104580791959426,-0.102253617982433,-0.125658770170291,0.0713153659918142,0.0255232953496974,-0.0460145162831323,0.18782448602201,-0.0567059035756445
"Kildala",-0.0655002644919509,-0.0034740427702318,0.12560474050877,0.0047524154318033,-0.00295464811599663,-0.010167408373397,0.0948857554360152,0.0159362672344686,-0.000857112643832885,0.0531278246764246,0.0389217876536822,0.029647123596124,-0.0964167913751927,-0.00529901323236015,0.0160001346846787,0.000262111100888651,-0.00528160554751575,-0.0174497718628729,-0.000103391143025963,-0.175470329522605,-0.093045947004926,-0.608221712831801,0.0224387210345307,-0.110258189385403,-0.000361702292770208,-0.457773012592921,-0.247294097750154,-0.215552457427047,-0.0532181595427745,0.139921901162188,0.128885770892029,0.0371946303987139,0.00505467776550506,-0.0545169341359269,0.0472706628906478,-0.140459558227827
