"","Sample","Reads","pass"
"224","Kwi-1996-CH-KW-96-72",10416556,"Y"
"225","May-2009-EC01",16166586,"Y"
"226","May-2009-EC02",1199,"N"
"227","May-2009-EC03",20026529,"Y"
"228","May-2009-EC04",6160637,"Y"
"229","May-2009-EC05",32280836,"Y"
"230","May-2009-EC09",15276149,"Y"
"231","May-2009-EC10",27492108,"Y"
"232","May-2009-EC11",11426845,"Y"
"233","Mor-2009-EC01",27371020,"Y"
"234","Mor-2009-EC04",26266600,"Y"
"235","Mor-2009-EC06",16481963,"Y"
