"","PC1","PC2","PC3"
"Blu-2001-EC03",-2.43692221084381,2.28306302597814,2.1219909405329
"Blu-2004-EC01",-2.7750902184312,4.50499094869297,2.65115931218633
"Blu-2004-EC03",-2.08534238832533,0.337287915823088,-2.59169574944454
"Blu-2009-EC02",-6.76928193563473,5.72104762301145,7.12273670585663
"Blu-2009-EC04",-5.04799456323601,2.72504766968144,4.01534615259573
"Blu-2010-EC04",-0.423128858775085,2.83775830937646,-6.41232021507527
"Car-2001-UC-15C",18.6054022341533,-3.87800225721231,3.42343017808917
"Car-2001-UC-16A",-2.52402121403883,4.90114121603398,2.92626078439552
"Car-2001-UC-16C",-0.482417714783646,2.59973234545597,-3.43362849007922
"Car-2001-UC-16D",-4.21467833931186,-2.92357680243459,1.05247271167631
"Car-2001-UC-2",-9.61774584297394,-3.22138663126913,1.67321797782176
"Car-2001-UC-3",-3.78350436099119,0.606554681347318,-3.95725163845572
"Car-2001-UC-7",15.0947423713848,-2.5475978610971,2.58290975852935
"Che-2007-EC02",-1.24401091638682,3.30165239640578,1.99475714033954
"Che-2007-EC04",-1.5910158957504,2.99144826205007,1.63980465135982
"Che-2007-EC05",-0.0874056734695284,0.689363961592764,-0.750700544376467
"Che-2007-EC07",8.79206223156952,-1.35712186662192,1.13525865688355
"Che-2007-EC08",-1.70470915677406,-1.27742483592694,-0.325601159083137
"Che-2007-EC10",-0.209516592898247,0.464621046366261,-0.483092412092188
"Cow-2016-EC03",8.25010494912275,-1.04464870891128,0.726796381872864
"Cow-2016-EC04",-5.13255198699073,-3.53580435563523,0.0308359856429742
"Cow-2016-EC06",6.27472055505489,0.205307455112374,-1.33689795775645
"Cow-2016-EC07",-2.57164945168092,-0.559287604466561,0.553443252702843
"Dea-2006-EC01",6.30227110780556,2.26251541570495,-5.81118233688985
"Dea-2006-EC02",-3.80672360639378,9.27858315540128,5.95286476353437
"Dea-2006-EC03",17.3874286276735,-3.44295875483281,2.87644438349223
"Dea-2006-EC04",6.11479430809428,0.20525590580894,-0.862919374268347
"Dea-2006-EC06",-1.95662004767095,0.0245165977060804,-1.83681976118822
"Dea-2006-EC07",0.0939905066549672,0.490071934040503,-0.75077610836387
"Dea-2006-EC08",19.5834616796579,-4.06862767588519,3.24308272786565
"Dud-2006-EC01",9.76375417736653,-1.24356453746763,1.34251398234682
"Dud-2006-EC02",-3.66290131770994,0.902927640560319,-5.63767531239688
"Dud-2006-EC03",16.8378394437012,-4.29779620020388,2.8201094631856
"Dud-2006-EC04",0.353151283914365,2.71812905316804,-4.7760060828687
"Dud-2006-EC06",-1.14045936283862,0.959777455748274,0.674201132175166
"Dud-2006-EC08",-0.857171292098938,0.856775435011686,-2.49377466221079
"Dut-2006-EC03",-1.07505909914629,0.37050562588952,-1.31754463031155
"Dut-2006-EC07",0.472968328970626,1.6060262705984,-2.67907110732687
"Dut-2006-EC09",-0.929452734684356,0.7714984461622,0.686778723735447
"Dut-2006-EC10",-0.00286681837714059,1.10122640032369,-1.53063904634286
"Dut-2010-EC04",4.68706841288029,-0.0381912594995983,-0.652995910604642
"Ecs-2003-EC03",-6.36609414210637,-5.08919019320544,-0.321843850233378
"Ecs-2003-EC04",6.71810716854583,-0.148440199046379,-1.2665843452671
"Ecs-2003-EC05",-4.42888061055557,-0.547336681035317,0.658543213917426
"Ecs-2003-EC07",-3.0101547855289,-1.90334557800547,-0.338266772408669
"Ecs-2003-EC08",-2.5593607529143,0.368537755905856,-3.01672297674309
"End-2006-EC01",-0.18130432023527,0.865739999100651,-1.51770636688608
"End-2006-EC02",-1.18285189082717,0.623867061677995,0.615510499809145
"End-2006-EC05",-0.092643850353593,1.04274128181711,-1.2448534444616
"End-2006-EC08",-1.49446600805308,3.97602150854883,2.15551319922881
"End-2006-EC10",-2.33696330718531,1.41601486255311,1.44429307549313
"End-2006-EC12",-0.425245671465479,0.410922006882629,0.310513586474238
"End-2006-EC18",-0.277116683645371,2.57004171998716,-3.97697461521077
"HarB-2020-75401",-8.71244605122918,-7.14895983840267,2.79778229758778
"Harr-2006-K045",1.59864123618686,6.02350613087141,-2.83284046139057
"Harr-2006-K047",-1.68533734512572,-1.20006443913298,0.402772548073759
"Harr-2006-K053",-3.11386409995591,0.582084368423202,-3.48012959882662
"Harr-2006-K054",-1.97323375065806,0.518047899440486,-3.2809840819226
"Harr-2006-K057",5.96880085706452,0.0449014216094212,-1.22964598618338
"Harr-2006-K059",-5.62234527740348,-3.49951290349021,1.80202280730654
"Hoo-2005-EC03",0.703973282089117,2.62699737988362,-1.18279060354842
"Hoo-2005-EC05",4.59011386273512,-0.317858552171152,0.411039197014808
"Hoo-2005-EC06",-2.71803080895038,0.976940840090007,-6.21476302321921
"Hoo-2005-EC07",-0.486691401334841,2.85576175404229,-4.82976037501724
"Hoo-2005-EC09",-2.7238063966947,7.28685732984579,4.14151430161128
"Hoo-2005-EC10",-1.20014291408698,-0.594407031769657,0.28613850612844
"Hoo-2005-EC11",-4.75281631070264,-0.120228121960402,-5.74097478354021
"Imn-1999-351",7.75429966458562,-0.832884800578512,0.95634220596348
"Imn-1999-352",11.201460557231,-1.40349679353612,1.08757677904211
"Imn-1999-353",-9.24661667757666,-7.69535706892653,-0.103700948060804
"Imn-1999-354",17.0187266301805,-2.54965850102356,0.613671504185461
